Date,National-US,National-US-SA
1975-01-01,25.197,25.294
1975-02-01,25.238,25.366
1975-03-01,25.327,25.389
1975-04-01,25.386,25.374
1975-05-01,25.469,25.39
1975-06-01,25.46,25.42
1975-07-01,25.611,25.556
1975-08-01,25.766,25.721
1975-09-01,26.014,25.952
1975-10-01,26.193,26.16
1975-11-01,26.37,26.362
1975-12-01,26.451,26.498
1976-01-01,26.557,26.658
1976-02-01,26.613,26.745
1976-03-01,26.848,26.914
1976-04-01,27.12,27.112
1976-05-01,27.444,27.365
1976-06-01,27.529,27.483
1976-07-01,27.76,27.697
